unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
485,right,2,78.75,4,0.8,3,270,4,0,0,1,1,67,233,325,181,1.73420211592502,1.39703997527415,0.020020595812459,1.69019080481343,78.75,258.75,20,NaN,NaN,NaN
486,right,2,78.75,4,0.8,3,270,4,0,0,1,1,69,183,258,145,2.00248397670349,1.22650636065096,-0.237879347342585,0.991097492251715,78.75,258.75,20,NaN,NaN,NaN
487,right,2,78.75,4,0.8,3,270,4,0,0,1,1,22,177,280,126,2.03743823321976,1.74682270535588,-0.294232972896556,1.30546280854173,78.75,258.75,20,NaN,NaN,NaN
488,right,2,78.75,4,0.8,3,270,4,0,0,1,1,98,197,311,155,1.87427016335174,0.919653931852217,-0.104230426898938,1.54516582685915,78.75,258.75,20,NaN,NaN,NaN
489,right,2,78.75,4,0.8,3,270,4,0,0,1,1,32,177,264,131,2.03860818228326,1.63853101202122,-0.311712010220614,1.1213580256394,78.75,258.75,20,NaN,NaN,NaN
490,right,2,78.75,4,0.8,3,270,4,0,0,1,1,108,203,329,160,1.79777312606715,0.836886752293816,-0.0719610959361419,1.73457449054746,78.75,258.75,20,NaN,NaN,NaN
491,right,2,78.75,4,0.8,3,270,4,0,0,1,1,114,213,327,170,1.70170341307857,0.823754173366154,-0.0269728129392841,1.71060956927412,78.75,258.75,20,NaN,NaN,NaN
492,right,2,78.75,4,0.8,3,270,4,0,0,1,1,39,200,323,144,1.93013874872141,1.57753693607502,-0.142984092319773,1.70310124823767,78.75,258.75,20,NaN,NaN,NaN
493,right,2,78.75,4,0.8,3,270,4,0,0,1,2,188,135,234,303,-0.840954537115249,0.485926458855478,0.743445768012653,1.57167997039197,164.75,344.75,20,NaN,NaN,NaN
494,right,2,78.75,4,0.8,3,270,4,0,0,1,2,90,255,116,67,1.558857075934,1.32337170077343,-1.34652906889215,1.42189210484235,7.75,187.75,20,NaN,NaN,NaN
495,right,2,78.75,4,0.8,3,270,4,0,0,1,2,77,288,307,106,1.49296072844357,1.69737252926298,-0.323981567855775,1.68185532556381,51.5,231.5,20,NaN,NaN,NaN
496,right,2,78.75,4,0.8,3,270,4,0,0,1,2,77,177,190,282,2.03536392673753,1.12665513324402,0.935131445948084,1.20809723745142,132.75,312.75,20,NaN,NaN,NaN
497,right,2,78.75,4,0.8,3,270,4,0,0,1,2,136,82,192,279,-1.28139027785734,1.16955881696573,0.923746687379938,1.17607361194669,164.25,344.25,20,NaN,NaN,NaN
498,right,2,78.75,4,0.8,3,270,4,0,0,1,2,89,116,319,164,-1.64810310334243,1.20145320026476,-0.0572585321709202,1.61786554230527,101.75,281.75,20,NaN,NaN,NaN
